Address,Legistar_Numbers,Plan_Commission_Dates,Landmarks_Dates,Urban_Design_Dates,PC_Links,LM_Links,UDC_Links,Description
"302-308 E Washington Ave / 15-27 N Butler St","89434, 89375, 89273, 88957",2025-09-15,2025-08-18,,Plan_Commission.html#september-15-2025,Landmarks.html#august-18-2025-1,,"11-story, 76-unit mixed-use building; demolition of former Capitol Times building"
"1601 N Sherman Ave / 1610 Ruskin St",89232,2025-09-15,,,Plan_Commission.html#september-15-2025,,,"New school to replace Sherman Middle School and Shabazz City High School"
"1402 Wyoming Way",89234,2025-09-15,,,Plan_Commission.html#september-15-2025,,,"New school to replace Black Hawk Middle School and Gompers Elementary"
"5501 Schroeder Rd",89235,2025-09-15,,,Plan_Commission.html#september-15-2025,,,"Outdoor eating area for food establishment"
"748 Jenifer St (Klose Cottage)",89575,,2025-09-15,,,Landmarks.html#september-15-2025,,"Garage demolition in Third Lake Ridge Historic District"
"533 Conklin Pl",89670,,2025-09-15,,,Landmarks.html#september-15-2025,,"Commercial building demolition"
"305 N Frances St",89675,,2025-09-15,,,Landmarks.html#september-15-2025,,"Two commercial buildings demolition"
"6314 Hartford Dr",89680,,2025-09-15,,,Landmarks.html#september-15-2025,,"Single-family residence demolition"
"425 N Frances St / 450 W Gilman St",90011,,2025-09-15,,,Landmarks.html#september-15-2025,,"16-story affordable student housing adjacent to Grimm Book Bindery (informational)"
"Madison Catholic Association Clubhouse",89900,,2025-09-15,,,Landmarks.html#september-15-2025,,"Signage for designated landmark"
"922-930 N Fair Oaks Ave / 3357-3375 E Washington Ave","88777, 87242, 86734, 86991","2025-08-25 (88777); 2025-03-03 (86734)",,2025-08-13; 2025-07-30; 2025-03-05,"Plan_Commission.html#august-25-2025, Plan_Commission.html#march-3-2025",,Urban_Design.html#august-13-2025,"Five-story, 171-unit mixed-use building plus 6-unit townhouse"
"3236-3300 Commercial Ave",89230,2025-08-25,,,Plan_Commission.html#august-25-2025,,,"70-unit apartment building"
"3235-3237 Burke Ave",89371,,2025-08-18,,,Landmarks.html#august-18-2025-1,,"Demolition of two-unit residential building"
"3236 Commercial Ave",89372,,2025-08-18,,,Landmarks.html#august-18-2025-1,,"Demolition of commercial building"
"3300 Commercial Ave",89374,,2025-08-18,,,Landmarks.html#august-18-2025-1,,"Demolition of commercial building"
"308 E Washington Ave",89435,,2025-08-18,,,Landmarks.html#august-18-2025-1,,"Demolition of commercial building"
"823 Williamson St",89512,,2025-08-18,,,Landmarks.html#august-18-2025-1,,"Signage in Third Lake Ridge Historic District"
"124 E Gorham St",87103,,2025-08-18; 2025-03-10,,,Landmarks.html#august-18-2025-1,,"Land combination and new construction in Mansion Hill Historic District"
"905 Huxley St",89064,,,2025-08-13,,,Urban_Design.html#august-13-2025,"Signage review"
"1003 Huxley St",89409,,,2025-08-13,,,Urban_Design.html#august-13-2025,"Signage review"
"4201 Buckeye Rd",89408,,,2025-08-13,,,Urban_Design.html#august-13-2025,"Signage review"
"2150 Commercial Ave / 2231-2235 Myrtle St",88916,,,2025-08-13,,,Urban_Design.html#august-13-2025,"Central at the Forge - 241-unit affordable housing (Oscar Meyer site)"
"121 N Butler St",88447,2025-08-11,,,Plan_Commission.html#august-11-2025,,,"73-unit apartment building"
"739 Jenifer St",88975,,2025-08-04,,,Landmarks.html#august-4-2025,,"Addition in Third Lake Ridge Historic District"
"740 Jenifer St (Sauthoff House)",88974,,2025-08-04,,,Landmarks.html#august-4-2025,,"Demolition and addition to designated landmark"
"1502-1702 Pankratz St",88775,2025-07-28,,,Plan_Commission.html#july-28-2025,,,"Parking expansion in TOD overlay for MSA construction company"
"3565 Tulane Ave","88718, 87894",2025-07-28,,2025-07-16,Plan_Commission.html#july-28-2025,,Urban_Design.html#july-16th-2025,"Common Grace church demolition and rebuild with 26-unit apartment building"
"656 Willy St / 656 Williamson St","88776, 88555",2025-07-28,2025-07-07,,Plan_Commission.html#july-28-2025,Landmarks.html#july-7-2025,,"Alteration to Red Caboose site - increased to 53 units, fully 5 stories"
"930 N Fair Oaks Ave",89126,,2025-07-21,,,Landmarks.html#july-21-2025,,"Demolition for E Wash redevelopment"
"3357 E Washington Ave",89127,,2025-07-21,,,Landmarks.html#july-21-2025,,"Demolition for E Wash redevelopment"
"3359 E Washington Ave",89128,,2025-07-21,,,Landmarks.html#july-21-2025,,"Demolition for E Wash redevelopment"
"3361 E Washington Ave",89133,,2025-07-21,,,Landmarks.html#july-21-2025,,"Demolition for E Wash redevelopment"
"3365 E Washington Ave",89137,,2025-07-21,,,Landmarks.html#july-21-2025,,"Demolition for E Wash redevelopment"
"3371 E Washington Ave",89140,,2025-07-21,,,Landmarks.html#july-21-2025,,"Demolition for E Wash redevelopment"
"3375 E Washington Ave",89143,,2025-07-21,,,Landmarks.html#july-21-2025,,"Demolition for E Wash redevelopment"
"2510 W Beltline Hwy",88729,,,2025-07-16,,,Urban_Design.html#july-16th-2025,"Rosen Nissan signage updates"
